day,max temp,min temp,precipitation
Thursday,13.6,7.7,0.0
Friday,15.4,13.8,100.0
Saturday,18.1,11.1,44.0
Sunday,13.9,8.6,0.0
Monday,15.1,5.7,0.0
"11/30/2023, 22:48:53",,,
