day,max temp,min temp,precipitation
Wednesday,8.3,1.5,0.0
Thursday,9.6,-0.6,0.0
Friday,14.0,4.4,0.0
Saturday,14.1,6.9,0.0
Sunday,16.3,10.9,53.0
"11/27/2023, 14:35:20",,,
